################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.2421640445265417E-04   8.4135735540898662E-02   3.2441059303776387E-02   6.3130630100537042E-03
         1          2   0.0000000000000000E+00   1.5485410450678452E-01   8.3440966197203978E-05   2.2007568872520868E-03
         1          3   6.3222866790738994E-03   2.0917136534186609E-01   1.5434467413069491E-01   9.3864598957882576E-03
         1          4   0.0000000000000000E+00   8.1139451194336808E-03   9.4008913797646508E-06   6.8163115325992331E-05
         1          5   0.0000000000000000E+00   2.1083174573925261E-02   1.6950595651821858E-04   6.6789946086543426E-04
         1          6   1.9283573597047778E-02   4.1830338886801299E-01   1.8643470606832166E-01   2.9676970408567649E-02
         1          7   0.0000000000000000E+00   5.7716886897193176E-01   9.2333970389424911E-04   1.2349264192807831E-02
         1          8   7.3260786382683962E-02   5.6354177603478495E-01   3.5641788349172043E-01   3.3443641611197776E-02
         1          9   0.0000000000000000E+00   6.4670939294240545E-02   2.5478395082774089E-04   1.0566134375138336E-03
         1         10   0.0000000000000000E+00   1.1825866811104732E-01   2.1764072731894272E-03   7.0614030843856122E-03
         1         11   1.6143570737543764E-01   1.1202064676810759E+00   5.1473254366162924E-01   1.0792241074697081E-01
         1         12   0.0000000000000000E+00   1.2956771096216004E+00   6.8295201169493915E-03   4.0083114173864891E-02
         1         13   2.3161440512650072E-01   8.4344177930662778E-01   3.8981135396465166E-01   8.1383294849411036E-02
         1         14   0.0000000000000000E+00   1.8962331528386817E-01   2.9758165022267320E-03   8.2460577891872461E-03
         1         15   0.0000000000000000E+00   2.4402568733101646E-01   1.1335968558260677E-02   3.0696401752428742E-02
         1         16   1.5376510254912962E-01   1.8386477530233964E+00   8.6195595525152480E-01   2.0728513741242646E-01
         1         17   0.0000000000000000E+00   1.4943991701782131E+00   3.1029528995969526E-02   1.0620977141195595E-01
         1         18   6.0498803778185756E-02   1.0523481888040129E+00   3.5929592147124206E-01   1.0361365211207642E-01
         1         19   0.0000000000000000E+00   3.1866006928864826E-01   1.4913037193215080E-02   3.1717242366470062E-02
         1         20   0.0000000000000000E+00   3.4657647376929529E-01   2.5621129501229512E-02   5.6872002609993970E-02
         1         21   4.1984292201117421E-02   2.0017403522699198E+00   1.0324726249498959E+00   2.4322974784794166E-01
         1         22   0.0000000000000000E+00   1.4162985046259386E+00   8.2409463725330673E-02   2.0808460544105292E-01
         1         23   6.6679136488979685E-03   1.0935935682371276E+00   4.5653018799003925E-01   1.3040114944686371E-01
         1         24   0.0000000000000000E+00   4.4152749410764464E-01   3.2632490330581458E-02   5.7797089201161223E-02
         1         25   0.0000000000000000E+00   3.9066141216772027E-01   3.0543828481513758E-02   5.2045795829367768E-02
         1         26   1.3558460281426619E-02   1.7778525601036799E+00   9.6799163804114718E-01   2.2180668437450896E-01
         1         27   0.0000000000000000E+00   1.0511533578411794E+00   1.2980381572100014E-01   2.7883368875810371E-01
         1         28   3.0835996665639943E-03   9.7357747898191827E-01   5.1430342418576136E-01   1.2292106377805603E-01
         1         29   0.0000000000000000E+00   3.4697310029412454E-01   3.3438060165052338E-02   5.1096700414252773E-02
         1         30   0.0000000000000000E+00   2.6421251069473478E-01   2.7083411344304368E-02   3.8386188436009501E-02
         1         31   2.3085880936346753E-02   1.2286886791530998E+00   7.2080261262748169E-01   1.6285156530621106E-01
         1         32   0.0000000000000000E+00   9.9967170323385413E-01   1.2635273637490674E-01   2.5090670661334391E-01
         1         33   5.9290719886773043E-03   6.9825549901781159E-01   3.8089871878676773E-01   9.0221809805775544E-02
         1         34   0.0000000000000000E+00   2.0912551387316991E-01   1.9686744296099321E-02   2.6444947117753706E-02
         1         35   0.0000000000000000E+00   1.9109347619725656E-01   1.9947944397408875E-02   2.6665196370591809E-02
         1         36   1.5208182285164904E-02   6.8447891953753104E-01   3.9498056365388368E-01   9.2171858235065504E-02
         1         37   0.0000000000000000E+00   5.9568304064861943E-01   7.9442578495290225E-02   1.4894086218471592E-01
         1         38   6.1151395998202303E-03   3.5095229728298516E-01   1.9516227935500069E-01   4.9161302990440615E-02
         1         39   0.0000000000000000E+00   1.0091451467579815E-01   9.4074664208892000E-03   1.2236741460387782E-02
         1         40   0.0000000000000000E+00   1.0613418331868386E-01   1.0718832940529563E-02   1.3582970936875941E-02
         1         41   3.7244021131589730E-03   2.5588965461945784E-01   1.5045323437203403E-01   3.6726875726672527E-02
         1         42   0.0000000000000000E+00   2.4563474221447432E-01   3.2659567245224820E-02   5.8381151326203903E-02
         1         43   5.5248563686154301E-04   1.4597230837702671E-01   7.3099947366584858E-02   1.9558341934783188E-02
         1         44   0.0000000000000000E+00   4.8324967386538985E-02   3.8825001588973750E-03   5.0094043326595296E-03
         1         45   0.0000000000000000E+00   3.6863622831612104E-02   4.0274651938254939E-03   5.0201806269739978E-03
         1         46   3.6933465581083307E-04   6.4569304841643235E-02   3.7213727186098923E-02   9.5116298353061443E-03
         1         47   0.0000000000000000E+00   5.5094330343398855E-02   8.3795002677272100E-03   1.4472979701883888E-02
         1         48   1.2377793832988839E-05   3.7267155750673173E-02   1.8408074968968326E-02   5.2436028293069677E-03
         1         49   0.0000000000000000E+00   1.0925414998555502E-02   1.0649708779584129E-03   1.3480207604620554E-03
         1         50   0.0000000000000000E+00   9.4141106491844838E-03   1.0004989037871303E-03   1.2599944363245741E-03
         1         51   5.0403086529937436E-06   8.8764311998078549E-02   2.0487967182723842E-02   8.3321654838791788E-03
         1         52   0.0000000000000000E+00   8.8725196561956779E-02   1.1257173401768622E-03   3.2459165003146202E-03
         1         53   3.9610805066650186E-03   1.4553713594700707E-01   3.8962773367273294E-02   1.3170148139331891E-02
         1         54   0.0000000000000000E+00   1.5748129610378556E-02   6.3922990108736645E-04   1.1715740969138169E-03
         1         55   0.0000000000000000E+00   2.0155238703515627E-02   1.0042944261344771E-03   2.1255789223184672E-03
         1         56   0.0000000000000000E+00   9.3520973156166934E-02   6.0113515027080105E-04   2.7210910877557108E-03
         1         57   0.0000000000000000E+00   1.2635594638592748E-01   1.4054955839661668E-03   4.2032947069324915E-03
         1         58   0.0000000000000000E+00   6.1768403850670488E-03   1.1714103119154876E-05   9.1644268273355806E-05
         1         59   0.0000000000000000E+00   3.8544802201662038E-03   2.0248895514535275E-05   1.4662418966809854E-04
         1         60   2.7094849887904781E-06   6.0795414037589202E-02   1.3278040164947123E-02   5.8311102693127505E-03
         1         61   0.0000000000000000E+00   1.9045236796837610E-02   5.7313051478953049E-04   1.1667136011144295E-03
         1         62   0.0000000000000000E+00   1.5873413221753414E-02   1.0192573165729258E-03   2.1654866505316631E-03
         1         63   0.0000000000000000E+00   9.3748490094576671E-04   6.2773288359444685E-06   3.2184510191299068E-05
         1         64   0.0000000000000000E+00   3.3427726999505393E-03   2.7310342142736293E-05   1.1360023405267754E-04
         1         65   0.0000000000000000E+00   9.7855714523577991E-04   2.5474701111576801E-06   2.1923041635403411E-05
         1         66   2.5984069338909828E-05   1.8871950417913344E-01   5.4076249934513876E-02   1.8861377019226050E-02
         1         67   0.0000000000000000E+00   1.7556446006774210E-01   1.9548347061170957E-03   5.3409435728558633E-03
         1         68   3.9030966751047211E-02   3.8140096136999080E-01   1.4486945432641044E-01   3.3378560586325247E-02
         1         69   0.0000000000000000E+00   2.4425028060405782E-02   1.3955715576307376E-03   2.2756328822034584E-03
         1         70   0.0000000000000000E+00   2.9876449595018544E-02   2.4631886649371577E-03   4.0464147638144907E-03
         1         71   0.0000000000000000E+00   2.9724892860504332E-01   5.2176864564470920E-03   1.5756453235148325E-02
         1         72   0.0000000000000000E+00   8.4902203478136914E-02   1.4527400368410546E-03   3.7113639895053766E-03
         1         73   0.0000000000000000E+00   4.7019921259870302E-03   1.9591493406560315E-05   1.2926237781146920E-04
         1         74   0.0000000000000000E+00   6.3385268178235378E-03   3.6201881277711567E-05   2.5105686894279211E-04
         1         75   4.3733665624526962E-05   8.0808489019256594E-02   1.2490339565912108E-02   4.5011663793964049E-03
         1         76   0.0000000000000000E+00   3.3073093505611460E-02   1.9758058147913665E-03   3.4866986685292566E-03
         1         77   0.0000000000000000E+00   7.1004083292066124E-03   6.8664293412374938E-04   1.0056352792569127E-03
         1         78   0.0000000000000000E+00   1.7989275844563640E-03   1.1262285872753783E-05   6.2161095025810615E-05
         1         79   0.0000000000000000E+00   5.6617149822840284E-03   6.8838474739833715E-05   2.6177442781992845E-04
         1         80   0.0000000000000000E+00   9.5539359093564028E-04   3.1263706146775622E-06   2.6343742548771340E-05
         1         81   1.4752586757836375E-07   1.9017485606569969E-02   3.8419275486704673E-03   1.9163741451177277E-03
         1         82   0.0000000000000000E+00   3.1950299951239658E-02   2.2998296014572646E-04   9.4445872519118143E-04
         1         83   6.4995890502349469E-06   3.7168030446028746E-02   1.0912109669486192E-02   5.4336962027971523E-03
         1         84   0.0000000000000000E+00   4.1152903270773485E-03   5.9968882719729389E-05   1.4102219112042505E-04
         1         85   0.0000000000000000E+00   7.2711062863746768E-03   2.6454323102463796E-04   6.9648650089710901E-04
         1         86   0.0000000000000000E+00   9.4866377543645162E-03   8.6520392671375621E-06   1.7397436296871441E-04
         1         87   0.0000000000000000E+00   5.6893810774072399E-02   4.6918324513790869E-04   1.9912403694935625E-03
         1         88   0.0000000000000000E+00   2.9799329926387770E-03   1.6175029742015919E-06   2.3654636770770967E-05
         1         89   0.0000000000000000E+00   7.1656903433055231E-04   2.0565862729907152E-06   1.6629402377519335E-05
         1         90   1.9940234468793211E-08   2.7928036074833459E-02   7.1218710809755718E-03   4.3895886075517691E-03
         1         91   0.0000000000000000E+00   4.5405742473353765E-03   5.3617788116106893E-05   1.4338187665808371E-04
         1         92   0.0000000000000000E+00   1.3049708551569672E-02   6.3326260726933518E-04   1.6461392367671278E-03
         1         93   0.0000000000000000E+00   1.9722283629013080E-04   5.3435587666875342E-07   3.4706554462098406E-06
         1         94   0.0000000000000000E+00   6.0662730352092074E-04   3.3669970529511215E-06   1.7763231081748872E-05
         1         95   0.0000000000000000E+00   2.3472643319640704E-04   3.9347843866890165E-07   3.4347325284156901E-06
         1         96   1.7675078754036017E-05   9.7329103024175162E-02   3.0260784168818330E-02   9.8307545183119946E-03
         1         97   0.0000000000000000E+00   9.0136850766022986E-02   8.2269194546236407E-04   2.5799634442083201E-03
         1         98   2.6027014808566638E-02   2.3287886353915258E-01   1.0128163045304307E-01   2.2264075627167000E-02
         1         99   0.0000000000000000E+00   1.1322252539696541E-02   5.6730413878214423E-04   8.7710905502612325E-04
         1        100   0.0000000000000000E+00   1.4489081173105694E-02   1.3821499926489113E-03   2.1128156227011976E-03
         1        101   0.0000000000000000E+00   1.6908151648660508E-01   3.9318807714959674E-03   1.1142949277251872E-02
         1        102   0.0000000000000000E+00   2.9359371001214381E-02   4.6621102297132613E-04   1.2686113114488569E-03
         1        103   0.0000000000000000E+00   1.0685173739788461E-03   6.5982487261041882E-06   4.3423768261912957E-05
         1        104   0.0000000000000000E+00   2.0848183885408024E-03   1.2312299246692669E-05   8.4253564237518654E-05
         1        105   8.6109509190311045E-06   3.5636377598278549E-02   5.1806739490401349E-03   1.8733707670935903E-03
         1        106   0.0000000000000000E+00   1.5854716139326361E-02   1.0958163344949147E-03   1.8888080434418841E-03
         1        107   0.0000000000000000E+00   2.7696148272872241E-03   2.4988397158723217E-04   3.4618865897711592E-04
         1        108   0.0000000000000000E+00   5.1110488876808925E-04   3.6052552287956924E-06   2.2304682084757255E-05
         1        109   0.0000000000000000E+00   2.7488232483885524E-03   3.2782694171872855E-05   1.2054474397960655E-04
         1        110   0.0000000000000000E+00   1.9143401077886335E-04   7.5414639591384125E-07   6.0937678304177020E-06
         2          1   8.5564988734705819E-21   1.0363937784521336E-01   1.3224464198952741E-04   1.7958044301534257E-03
         2          2   1.3614990653129544E-01   1.3670376941759829E-01   1.3642652408628309E-01   1.0218738360208914E-04
         2          3   0.0000000000000000E+00   3.9255097612000715E-03   3.0432102107985910E-06   4.9824731259193473E-05
         2          4   0.0000000000000000E+00   1.3593846362333156E-04   5.0473618771646939E-08   1.1557323109683284E-06
         2          5   0.0000000000000000E+00   7.0843537256441117E-05   5.5646675472768423E-08   8.8992881422753419E-07
         2          6   3.1682544605093410E-17   2.7798766171260814E-01   1.4633906358134049E-03   9.2767187178401066E-03
         2          7   5.9734969044121833E-01   5.9874062617347434E-01   5.9804164280074812E-01   2.5006571128349423E-04
         2          8   0.0000000000000000E+00   3.9747726840852565E-02   1.0027245767358950E-04   6.7303960635647583E-04
         2          9   0.0000000000000000E+00   3.4429390107312001E-03   2.4624908453693765E-06   3.8245742713238876E-05
         2         10   0.0000000000000000E+00   2.0909793787141388E-03   2.9090225483800532E-06   3.4351466227406146E-05
         2         11   4.3292458164519627E-14   5.3526069521013908E-01   1.0824029058960152E-02   2.6912140182078416E-02
         2         12   1.2070698630788796E+00   1.2083137295040616E+00   1.2076848308827297E+00   2.5227421287381393E-04
         2         13   0.0000000000000000E+00   1.5226088644909155E-01   1.6929022535065322E-03   4.8454189715012586E-03
         2         14   0.0000000000000000E+00   3.2079040580500755E-02   5.2208265641564401E-05   5.2594351574788371E-04
         2         15   0.0000000000000000E+00   2.2704099366322495E-02   6.3828473360812163E-05   5.3457287634198203E-04
         2         16   2.1841087920762124E-11   7.5618647817098306E-01   4.9178348959640315E-02   5.4279473948369399E-02
         2         17   1.5734693081990405E+00   1.5749755250124633E+00   1.5741203220448146E+00   2.7952369599277486E-04
         2         18   0.0000000000000000E+00   3.3587298389760606E-01   1.3712477189393424E-02   1.9683394273249468E-02
         2         19   0.0000000000000000E+00   1.0995627256013428E-01   4.9504160435254944E-04   3.2379650609631453E-03
         2         20   0.0000000000000000E+00   9.0691262989273186E-02   6.0709425538216309E-04   3.5426443696441254E-03
         2         21   4.0703472521271612E-09   8.1879539693102865E-01   1.3060982540816365E-01   7.9037982572689194E-02
         2         22   1.4564999755737515E+00   1.4571171526785383E+00   1.4568084701074309E+00   1.2590937370133003E-04
         2         23   0.0000000000000000E+00   5.4630673345649816E-01   5.2796878966168193E-02   4.0954602861805418E-02
         2         24   0.0000000000000000E+00   1.3865160371663091E-01   2.1679254135153246E-03   9.6605064357865207E-03
         2         25   0.0000000000000000E+00   1.3326996552536505E-01   2.6044068255085691E-03   1.0760665579613433E-02
         2         26   2.8037978590031819E-07   8.7163071116567137E-01   2.0572459693633618E-01   8.1361410958229768E-02
         2         27   9.5946412716526785E-01   9.6015625416887163E-01   9.5986079277988401E-01   1.2628036215156404E-04
         2         28   0.0000000000000000E+00   5.3120263112449972E-01   1.0114069303939117E-01   4.6156383465606875E-02
         2         29   0.0000000000000000E+00   1.1739539153286892E-01   4.6071593880489667E-03   1.4806707386371683E-02
         2         30   0.0000000000000000E+00   1.4249031192199124E-01   5.3354077527764145E-03   1.6211019528365421E-02
         2         31   7.1436599975784222E-06   6.7461979632641123E-01   2.0025502037938520E-01   6.0071009303753857E-02
         2         32   6.0943791277323400E-01   6.0985016516278823E-01   6.0964715168360695E-01   7.5468382258662688E-05
         2         33   0.0000000000000000E+00   3.7185154662832925E-01   1.0531655452411129E-01   3.4653326873726589E-02
         2         34   0.0000000000000000E+00   9.4576068538867464E-02   5.1539858967861391E-03   1.2689952032551672E-02
         2         35   0.0000000000000000E+00   9.4238458065789427E-02   5.6942603371179911E-03   1.3474156464913191E-02
         2         36   6.7374301673430969E-05   3.4336866302874519E-01   1.2590764262011417E-01   3.3020898833742283E-02
         2         37   3.2874805380094435E-01   3.2896083411575300E-01   3.2886930407046783E-01   3.2710634849921836E-05
         2         38   0.0000000000000000E+00   2.0550984221752278E-01   6.6019528378572861E-02   1.9295347427366147E-02
         2         39   0.0000000000000000E+00   5.1892901706454643E-02   3.3726906832103310E-03   7.0552686382586082E-03
         2         40   0.0000000000000000E+00   4.5749109952915472E-02   3.5333596885493723E-03   7.2522137279728465E-03
         2         41   2.3542211913762663E-04   1.3309290327822390E-01   5.1761778113523067E-02   1.3115522392615729E-02
         2         42   1.2348454445928132E-01   1.2355199323945515E-01   1.2352116096626989E-01   1.4753944377102654E-05
         2         43   0.0000000000000000E+00   7.2478231055626022E-02   2.6402302630266411E-02   7.8040550006421225E-03
         2         44   0.0000000000000000E+00   2.2431170839828825E-02   1.3903698878593687E-03   2.7539589423710826E-03
         2         45   0.0000000000000000E+00   2.2441271329086378E-02   1.3805982513800021E-03   2.7547159777563984E-03
         2         46   3.0506877310994729E-04   3.4825202284001718E-02   1.3280575039576501E-02   3.4925932485444311E-03
         2         47   2.8015404401633352E-02   2.8028215758289687E-02   2.8021261364220937E-02   2.2692937744157937E-06
         2         48   0.0000000000000000E+00   1.7329229971651882E-02   6.5821512012381161E-03   2.1007284929292192E-03
         2         49   0.0000000000000000E+00   5.5930245958480335E-03   3.5509785654091764E-04   7.0475545039398561E-04
         2         50   0.0000000000000000E+00   5.6835555445619640E-03   3.3726210155541508E-04   6.9125301516718876E-04
         2         51   0.0000000000000000E+00   1.6701562371561157E-02   2.4323271825519343E-04   6.3642599581091456E-04
         2         52   6.0437760336646500E-08   1.0323358745315749E-01   6.5732046641232209E-03   6.0621726607750313E-03
         2         53   0.0000000000000000E+00   1.4061994752454910E-02   2.2176606891649545E-04   5.7229886296552765E-04
         2         54   0.0000000000000000E+00   1.7856459712161431E-03   7.2399311715971926E-06   2.6461615851643295E-05
         2         55   0.0000000000000000E+00   7.1367697229033841E-04   1.0037371409361342E-05   3.5307906170715693E-05
         2         56   9.7801330004337647E-02   9.8074565226463448E-02   9.7933774033083398E-02   5.0377372019411454E-05
         2         57   0.0000000000000000E+00   3.6457097421742198E-02   2.3000365547278120E-03   2.0217730229942985E-03
         2         58   0.0000000000000000E+00   1.0007307306472469E-02   9.3547379390614293E-05   3.9935461678427907E-04
         2         59   0.0000000000000000E+00   8.2909515755720566E-03   1.1147744766846750E-04   4.4060885895006401E-04
         2         60   0.0000000000000000E+00   2.7800944187096367E-03   3.9089402642347196E-05   1.1275173631056381E-04
         2         61   0.0000000000000000E+00   7.8571487727410359E-04   4.7376465059966018E-06   1.7398812618730524E-05
         2         62   0.0000000000000000E+00   1.7236875776516927E-04   3.0803205263379137E-06   9.7218038963192234E-06
         2         63   0.0000000000000000E+00   1.7841308488426343E-05   1.0326952576989662E-08   1.9810251740726049E-07
         2         64   0.0000000000000000E+00   2.7744446623578659E-04   7.1508414390712931E-07   5.5951218173910089E-06
         2         65   0.0000000000000000E+00   1.8908686390215735E-05   1.1646213214876516E-08   2.6595965663038537E-07
         2         66   0.0000000000000000E+00   5.9267390901614682E-02   2.1979333004210231E-03   2.5274409856169918E-03
         2         67   4.0522536329226845E-07   2.2108703776381533E-01   1.1871164217288881E-02   1.1441573168307330E-02
         2         68   0.0000000000000000E+00   9.7481778230258734E-02   4.3082191843946223E-03   4.5169920888979689E-03
         2         69   0.0000000000000000E+00   6.7210275081642373E-03   4.2375954088256438E-05   1.4269685374872625E-04
         2         70   0.0000000000000000E+00   4.9107763720386529E-03   7.9430825175010871E-05   2.6096136772228625E-04
         2         71   2.4272277733274211E-01   2.4311884039499182E-01   2.4292396607183550E-01   9.0917693666222956E-05
         2         72   0.0000000000000000E+00   6.0170422911527868E-02   3.9402367968869190E-03   3.3318257657791229E-03
         2         73   0.0000000000000000E+00   1.0758543316586404E-02   1.5795967439277215E-04   5.5623278174153417E-04
         2         74   0.0000000000000000E+00   8.8697383310902597E-03   1.8879919121736466E-04   6.2164966918015090E-04
         2         75   0.0000000000000000E+00   1.5624237665653400E-02   2.2522278934872041E-04   5.9599582633967528E-04
         2         76   0.0000000000000000E+00   5.0546009519124094E-03   4.2611406879609766E-05   1.4482157805251466E-04
